名称,链接,类型,卫生间,床数量,卧室数量,容纳人数,价格,评论数,特色,位置,出行信息,,,,
清远佛冈温泉度假望湖独栋别墅派对好去处(4房8023),"https://www.airbnb.cn/rooms/24116160?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,2个卫生间,5张床,4间卧室,最多住9人,999,0,"别墅独栋以东南亚风格为主,环境好且舒适,厨房可做饭,Wi-Fi覆盖｡内有麻将,KTV,花园带私人泡池,提供电烤炉烧烤,活动场地足够!
•注意哦:为了避免给邻居带来骚扰,唱k时间最迟在晚上十点半以前结束｡
别墅内自带有温泉池,预订可免费赠送一池温泉水,第二池开始每池加200｡
•周边配套丰富,有购物广场,超市,商业街,医院等｡出碧桂园大道5分钟左右有一大片农庄,具有特色的臭屁醋,三斤鸡等推荐尝试哦~
碧桂园清泉城内有温泉谷,需买票｡附近有英伦小镇,都是一些欧式建筑,可以拍拍照~5分钟左右车程可达森波拉温泉,森波拉奇妙世界,稍远还有龙门温泉,金龟池｡
•走京广澳高速佛冈出口5公里直达碧桂园清泉城,到佛冈镇中心15-20分钟车程;也有专门大巴到达清泉城｡",,,,,,
【随地游】佛冈碧桂园清泉城4房温泉别墅·烧烤KTV桌球等娱乐,"https://www.airbnb.cn/rooms/24124355?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,4间卧室,最多住9人,999,0,"别墅风格有多套,入住以实际安排为准｡
提供多种设施:厨房(食物､调味料､一次性碗筷需自备), KTV ;带自动麻将机;桌球台;兵乓球台,大型后花园,独立温泉泡池;电烧烤(我们有电烤炉提供,不能碳火烧烤,不能私自搬动烧烤炉到室内烧烤,否则罚款)｡",,,,,,
佛冈县碧桂园畅游别墅4房,"https://www.airbnb.cn/rooms/24131653?s=lL8DwLxp&guests=1&adults=1
",整套房子,3个卫生间,6张床,4间卧室,最多住10人,1580,0,这个房子经过改造成为欧式的风格｡解决卫生干净｡户外的发园宽阔｡,有一个很温馨的家感觉｡,"自驾游｡京珠高速佛冈出口｡右拐6公里｡广州到佛岗县城,有大巴直达到县城｡",,,,
佛冈碧桂园清泉城美居3房公寓,"https://www.airbnb.cn/rooms/24146810?s=lL8DwLxp&guests=1&adults=1
",整套酒店式公寓,1间卫生间,3张床,3间卧室,最多住5人,500,0,"碧桂园•清泉城坐落于广州后花园清远佛冈羊角山风景区碧桂园清泉城云泉谷,坐北观南,拥有宽阔的自然景观｡      度假别墅干净卫生,靠近优美的景色､由房东自营｡这是森林里的别墅来这里度假,吸醉氧,优于广州8倍的负离子为您洗去一周的疲惫,留住时光,静听时光的声音,阳光､空气､洗肺,给自己一个悠闲的五星级度假｡   【别墅区】温泉会所､绿道踩单车､植物园､草坪､无边泳池､儿童乐园､体育公园､钓鱼岛､水晶宫､英伦小镇､风情商业街､当地美食农庄等｡全屋配备冷暖空调,管家接待,坚持卫生优先｡其中1张1.8米大床,1张1.5米大床,1张1.2米床,标准入住人数5人,可临加沙发床碧桂园清泉城距京珠高速出口5公里,交通便利,距广州市中心1小时车程｡这里,有最干净的空气,最清澈的溪流,最灿烂的星空,和最美丽的风景｡",,,,,,
清远佛冈碧桂园蜗牛温泉度假别墅,"https://www.airbnb.cn/rooms/24162435?s=lL8DwLxp&guests=1&adults=1
",别墅里的独立房间,3个独立卫生间,7张床,4间卧室,最多住12人,1680,0,"独东私家温泉别墅屹立在云泉谷山腰中,内 设有私家温泉池,麻将,KTV,烧烤等娱乐设施,",,,,,,
佛岗碧桂园美式独栋别墅,"https://www.airbnb.cn/rooms/24259890?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,4间卧室,最多住4人,1980,0,"美式风格独栋别墅内设KTV,烧烤,私家温泉池,麻将,厨具齐全",佛冈县碧桂园清泉城内,,,,,
佛冈碧桂园7房豪华轰趴温泉度假别墅带温泉池泳池麻将桌烧烤KTV,"https://www.airbnb.cn/rooms/24434813?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,11张床,7间卧室,16位及更多房客,988,1,"一楼:一间1.5大床房,一间1.8大床房,独立投影KTV(或会议室)
二楼:8米中空客厅,饭厅,厨房,桌球,温泉池,泳池,入户花园,休闲观景台,公卫
三楼:房中房两房互通(一间1.5米三床房,一间1.8米大床房)房
四楼:一间1.5双床房(独卫),一间1.5米双床房,一间1.8米大床房,公卫｡
配套设施有:1,厨房(电饭煲/个､电磁炉/个､冰箱,通煤气可做饭,食物､调味料碗筷需自备,厨具齐全)2,独立KTV(限时:使用时间为下午14点至晚上22点半)3,露天大温泉池､私家游泳池(入住别墅免费送一池温泉水,使用泳池加收300,如需加池收费200元/池,注明:游泳池冬天不开放)",,,,,,
佛冈碧桂园7房豪华轰趴温泉度假别墅带温泉池麻将桌烧烤KTV,"https://www.airbnb.cn/rooms/24458042?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,5个卫生间,13张床,7间卧室,16位及更多房客,1380,1,"此别墅为碧桂园样板房,装修300多万,家私摆设贵重,请游客务必慎重使用｡别墅7房13床,一楼车库,一个1.2米双床房,一个独立投影KTV,一个公用洗手间带淋浴.二楼8米中空大厅,饭厅,厨房,一个公用洗手间带淋浴,后花园温泉池,一个1.5单床房｡三楼一间超大房中房(一间1.8米双床房,一间1.2米双床房,一个公用洗手间带淋浴),四楼三间1.2米双床房,其中包含一个套房(带独立卫生间),一个公用洗手间带淋浴｡超大观景露台｡ 注意,别墅禁止明火烧烤
别墅四周群山环抱,景色优美,周边聚集了森波拉森林公园､观音山省级景区､羊角山､田野绿世界等旅游度假项目",,,,,,
碧桂园·清泉城C+温泉度假别墅(配套古典中式家具),"https://www.airbnb.cn/rooms/24478661?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,12张床,5间卧室,最多住14人,1500,0,"房源配套都是古典中式实木家具,高档黑檀木,需要房客爱护使用｡
1.独立套房x3
2.双人房x2
3.提供加床(沙发床)
4.配有自动麻将桌
5.配有ktv
6.星空私人温泉池 
7.提供户外烧烤工具以及休闲沙发
8.园区内拥有体育公园,儿童乐园
9.碧桂园凤凰温泉酒店(温泉需自费)",,,,,,
佛冈碧桂园清泉城豪华欧式温泉别墅,"https://www.airbnb.cn/rooms/24480467?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,11张床,6间卧室,16位及更多房客,1880,1,"配套设施有:
1,厨房(电饭煲/个,电磁炉/个,冰箱,通煤气可做饭,食物､调味料碗筷需自备,厨具齐全)
2,独立KTV(限时:使用时间为下午14点至晚上22点半)
3,露天大温泉池､私家游泳池(入住别墅免费送一池温泉水和一池游泳水,如需加池收费200元/池,注明:游泳池冬天不开放)
4,桌球､自动麻将､Wifi,3D电视,有韩式电烧烤炉提供",,,,,,
"碧湖小筑,集装箱改造的亲水房屋,非一般的野外住宿体验","https://www.airbnb.cn/rooms/24530565?s=lL8DwLxp&guests=1&adults=1
",农家房,1.5个卫生间,4张床,3间卧室,最多住6人,680,2,"整栋房屋是建在麻冲水库边上,用集装箱改造的度假别墅｡鸟语花香,风景秀丽,拥有30亩的果树林和40亩的鱼塘｡您足不出户就可以在客厅的阳台上垂钓,在房外的湖上泛舟,在门口的小溪边烧烤,用原始的柴火灶野炊,沿着湖边的小径寻找萤火虫,在露台观赏夜空的星星,聆听虫叫和蛙声｡","房子3面被青山环绕,旁边是麻冲水库,后面是30亩的果园,放眼望去,四周开阔｡门外小桥流水,鸟语花香,是悠闲养生的好地方｡","房子位于麻冲水库边上,离英德市区､英红考场､金泉古寺､观音岩5分钟车程,宝晶宫､茶语温泉､天鹅湖､乐广高速,英德西高铁站和英德火车站约15分钟车程,离积庆里红茶谷､英红茶世界､仙河地下河､云水谣､奇洞温泉等景点都是在30分钟车程以内｡附近公共交通不方便,建议自驾或者打车过来｡附近的农庄有绿野仙踪农庄､四季春农庄､陈记泥焗鸡都是1分钟车程以内的｡",,,,
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将","https://www.airbnb.cn/rooms/24634749?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,6张床,4间卧室,最多住10人,1150,12,"*四房六床250平方温泉别墅!别墅内配日式私家人工温泉池､高级KTV设备､烧烤炉､电动麻将桌､厨房用具､名牌家私电器､免费WIFI一应俱全!免费停车!全部使用标准一次性洗漱用品!毛巾､床品一客一换!专属管家服务,专职阿姨清洁卫生!
*别墅位于清远市恒大世纪旅游城内,距离新银盏温泉20-30分钟车程,古龙峡玻璃大峡谷+国际漂流､清泉湾玻璃漂流+水上乐园､龙腾峡15分钟左右车程,英西峰林35-40分钟车程,清远市区20分钟的车程,广州市60分钟车程,深圳市120分钟车程!
*交通:别墅区有穿梭巴士,每天有楼巴往返广州市区越秀公园､清远市区清新体育馆,门口有公交车抵达清远市区!
*美食:清远恒大内有开心农场､恒大自助餐､美食中心东南西北各大美食;附近有田美农庄等农家菜!
*超市､市场:华润万家､美宜佳､购买烧烤食材的农贸市场!
*休闲娱乐:清远恒大饮食､娱乐､运动､商业､会议､健康中心,运动中心有真人CS对抗赛､恒温游泳池､桑拿房､健身房､单车､足球场､篮球场､网球场､羽毛球､桌球､乒乓球等运动设施｡有人工湖碰碰电动船;山顶公园､儿童滑滑梯､松鼠营､假山瀑布免费游玩｡娱乐中心有各种儿童设施!","*别墅位于风景优美的清远市恒大世纪旅游城内,距离新银盏温泉20-30分钟车程,古龙峡玻璃大峡谷+国际漂流､清泉湾玻璃漂流+水上乐园､龙腾峡漂流15分钟左右车程,英西峰林35-40分钟车程,清远市区20分钟的车程,广州市60分钟车程,深圳市120分钟车程!*别墅区内有穿梭巴士,每天有楼巴往返广州市区越秀公园､清远市区清新体育馆,门口有公交车抵达清远市区,交通便利!附近景区还有笔架山森林瀑布4A风景区､太和古洞､牛鱼嘴风景区､玄真古洞､飞来湖湿地公园､金鸡岩､英西峰林､洞天仙境等!
*别墅周围绿树成荫､有人工湖泊,区内治安好,保安24小时巡视,山清水秀､林语花香､湖光山色､享大自然的负离子,远离都市喧嚣,享受这份独特的尘世美,为单位团建､家庭休闲､朋友出游的好去处!","别墅区内有穿梭巴士到清远恒大会议中心,每天有楼巴从清远恒大会议中心往返广州市区越秀公园､清远市区清新体育馆,门口有公交车抵达清远市区,交通便利!别墅区内停车免费,可停多辆车!",,,,
佛冈碧桂园四房七床欧式别墅,"https://www.airbnb.cn/rooms/24644231?s=lL8DwLxp&guests=1&adults=1
",别墅里的独立房间,3个独立卫生间,7张床,4间卧室,最多住10人,3680,3,"欧式别墅,里面设置配备泡温泉,麻将,烧烤,乒乓球,KTV",,自驾游,,,,
英德连江口镇豪华江景公寓三房两厅,"https://www.airbnb.cn/rooms/24665955?s=lL8DwLxp&guests=1&adults=1
",整套酒店式公寓,2个卫生间,5张床,3间卧室,最多住6人,680,2,"如果您一家六口或三五好友一起出游连江口镇这个美丽的地方且被美景吸引而流连忘返需要停留此地休息一晚时,那你就一定不能错过这个环境优美､住宿舒适､服务周到的地方了｡

【亮点一:空间】
 三房两厅一厨房一独卫两阳台(其中一套为套房,配有卫浴)

【亮点二:设施】
1.厨房配备齐全的厨具及冰箱,可免费提供给房客使用｡
2.饭厅配有自动麻将机,大家旅游休息之余还可以互相切磋一下功力哦｡

【亮点三:风景】
一阳台可观赏无限江景,适合闲暇时光跟家人朋友一起观赏北江风景,舒适怡人,另一阳台可观赏无限山景及穿梭的火车,晚上火车穿梭往来,往往会勾起人们的思乡之情｡我们每个房间都可观赏江景或山景,环境优美,住宿舒适｡

【特别提示】
1.希望各位房客可以注意清洁卫生,特别是对厨房用具的使用｡

2.公司规定楼下游泳及温泉需自费购票进入(具体收费按实际入住时度假区安排为准)｡

3.关于房子内自带的温泉池,一池水约30元(按实际使用量收费)｡

4.房主和蔼可亲,房源性价比高｡非常期待您的到来｡感恩每一位客人对我们的选择和信任｡",,可以直接导航至“英德市连江口镇云海江湾假日酒店”即可进入｡,,,,
波罗镇民宿,"https://www.airbnb.cn/rooms/24681212?s=lL8DwLxp&guests=1&adults=1
",住宿加早餐里的独立房间,2个独立卫生间,6张床,4间卧室,最多住10人,88,0,"空调风扇,位置街道上中心,交通便利｡停车方便｡","波罗镇街道中心位置,镇政府旁边",使用地图导航软件导航至波罗镇政府即可,,,,
罗坑大草原精品民宿一号驿站田园牧歌亲水房,"https://www.airbnb.cn/rooms/24726591?s=lL8DwLxp&guests=1&adults=1
",别墅里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,188,0,"我的民宿在风景秀美的罗坑大草原黄屋村,四层楼的别墅坐落在幽静的稻田间,为全镇离水库大草原最近的独立庭院民宿,庭院占地约3000平方,拥有荷花池､游泳池(在建)､鱼池､无公害菜地､烧烤场､花园,可免费提供停车,欢迎家庭休闲出游及公司团建活动｡

民宿有九间房,可观水/观山/观田野/满足你的不同需求,每间带有大床(或上下铺)､独立卫浴及衣柜,提供24小时热水､空调､吹风机､无线Wi-Fi､棋牌､自助厨房间,另提供有偿餐饮服务,可提前预约,设有12人同时进餐的大餐桌｡
一楼设有喝茶休闲区,二楼与四楼有公共观景平台,可远眺湖光山色,三楼家庭套房私享观景台,房内面积约50平米,设有1.8米大床,可提供有偿加床｡

远离喧嚣的城市,在自然的村落中,悠然的环境里,舍下心中的杂念,闲看庭前花开花落,漫随天空云卷云舒,希望我的房子能让旅行中的你褪去疲惫,找到你想要的心灵归属｡",罗坑大草原,"导航罗坑黄屋村,内含停车场",,,,
佛冈雅悦公寓,"https://www.airbnb.cn/rooms/24749532?s=lL8DwLxp&guests=1&adults=1
",整套酒店式公寓,1间卫生间,1张床,单间公寓,最多住2人,138,0,"佛冈雅悦公寓给你舒适无忧的服务,健康生活,全程打理",,,,,,
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,"https://www.airbnb.cn/rooms/24835888?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,6张床,4间卧室,最多住11人,999,11,"房屋介绍:
    清远佛冈碧桂园清泉城环境清新,拥有高达90%的植被,呼吸的每一口都是负离子｡
    本墅院子方正,院内可宽松停放3辆车,墅周边监控全覆盖,让您安全无忧!
    墅内格局方正!大气有感!整个假期宽敞舒适!由房东亲自设计的简约实木风,有别都市气息､不浮不躁､不炫目的内敛品质尽收眼底｡
    墅内中空大厅､全景落地豪窗､舞台音效级KTV､自动麻将桌､室内休闲吊篮,院内私家泡池､电烧烤盘､户外休闲聚会桌椅､小型儿童游乐场等一应俱全,老少皆宜､各取所需｡
   四房六床三卫格局分布:
二楼主卧 1.8米床1张带卫生间
二楼次卧 1.5米床2张带卫生间
一楼主卧 1.5米床1张 1.2米床1张
一楼次卧 1.5米床1张
三间都是家庭房的配备,对于家庭亲子出行的小伙伴们更为方便!
可定制亲子套间(目前是 (Hidden by Airbnb) 佩奇系列),亲子套间包括卡通床品､卡通玩偶､卡通浴巾､卡通拖鞋､积木架､儿童帐篷等(详情请个别咨询)!
    厨房已带全套常用炊具､餐具,方便小伙伴们自己烹饪美食!
    碧桂园区内自带温泉酒店度假村､植物园､儿童乐园､会所､餐厅､万田超市､英伦小镇､网球场等等","清远佛冈碧桂园清泉城环境清新,拥有高达90%的植被,呼吸的每一口都是负离子","交通指南 
导航搜索地点:碧桂园清泉城
地址:清远市佛冈县碧桂园清泉城温泉度假别墅
 
从广州出发:
华南快速干线￫京珠高速￫佛冈出口￫碧桂园清泉城
另:从广州天河有清泉城楼巴往返
从深圳出发:
深圳市区￫广深高速￫北二环￫京珠高速￫佛冈出口￫碧桂园清泉城
 
公交客运班车搭乘路线:
    从本城市坐客运大巴到佛冈客运站,佛冈客运站离清泉城距离6.4公里,搭出租车大约20元｡
    从佛冈银座有往返碧桂园清泉城的交通车",,,,
